Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|7|,15035|4542|2878|1695|1114|603|397|212|,59.98986411706019|110.37730206957288|139.89554933981933|180.11121710914452|200.1176633752244|230.16157048092867|239.20314609571787|248.3704575471698|,3.0258270707166472|10.64811908311837|16.836680119085717|18.368531569703656|17.40412891226054|20.004601373078614|19.657885716811723|18.871922656874833|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,15088|4650|2625|1632|1185|641|224|431|,60.06669658006363|109.73225268817204|140.78530933333334|175.56157904411768|201.57421518987343|224.62441809672387|239.7077455357143|258.3815498839907|,3.2906440831799966|8.870631052749188|10.189532261891241|8.713203124699978|7.006079401781931|5.71045765013848|2.964069688499857|10.6797380237903|,14480|2465|4590|1924|1454|790|272|501|,0|0|0|0|0|0|0|0|,163026|2465|4590|1924|1454|790|272|501|,127305|1|1681|458|882|529|133|499|,35706|2464|2909|1466|572|261|139|2|,0|0|0|0|0|0|0|60|,0|0|0|0|4|29|27|0|,34555|3053|3334|1496|639|253|121|8|,0|0|0|0|0|0|0|0|,18402|266|258|55|29|7|16|3|,16153|2787|3076|1441|610|246|105|5|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|7|,15008|2590|3311|1896|941|457|168|52|,63.71625208301314|84.7364097028221|129.23931338206802|156.37989280359926|186.8402164842476|202.77178105529768|226.67711505432817|229.28056876955162|,5.277572418067102|7.029543464429419|11.924649680180073|18.068631388782666|17.595178114435836|18.00924152733372|14.582850175070513|13.265960114340063|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,16153|2787|3076|1441|610|246|105|5|,64.74088649086578|103.23598064339765|139.5518028385279|174.7775481955944|200.94598968943598|223.63112437966566|239.98558788372378|246.66825158033862|,6.34293867203256|14.816758249102692|9.795518474499678|8.627361531435355|7.2462810001668245|6.094635638082735|2.8133871954624934|2.04496183681851|,11718|6125|3498|1779|850|307|114|32|,0|0|0|0|0|0|0|0|,100567|6125|3498|1779|850|307|114|32|,80560|2792|1601|812|348|109|42|16|,18319|3185|1836|927|490|196|67|16|,0|0|0|0|0|0|0|67|,0|0|0|1|11|24|24|7|,17539|3881|1779|1022|509|183|44|12|,0|0|0|0|0|0|0|0|,5682|653|144|136|68|12|3|3|,11857|3228|1635|886|441|171|41|9|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|7|,10831|2745|1417|1631|897|454|237|56|,63.98201303864168|87.94980322637515|103.9267057011363|144.77518521635474|168.57219940487553|195.90258120179183|209.7779558336238|230.60194559150568|,5.367593754240851|9.48552046873309|8.677433464725096|13.266485318399317|19.172978502560063|17.56758980100912|17.84792795592214|11.491230448244071|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,11857|3228|1635|886|441|171|41|9|,65.31290671968803|98.47577453708617|144.07038065787344|174.0144546124895|200.24147739231205|223.21290571751038|240.13398969842487|248.41944812328217|,6.8026526786525405|10.178498982399365|9.223322173771745|8.847426728913206|6.914606481681079|5.286116100195161|3.032979874924866|3.4939768591842846|,8027|6597|1644|1197|536|204|41|22|,0|0|0|0|0|0|0|0|,65607|6597|1644|1197|536|204|41|22|,50917|2443|68|200|42|14|3|9|,14460|4117|1571|993|492|189|38|13|,0|0|0|0|0|0|0|129|,0|0|0|10|48|50|18|3|,13704|4644|1676|1060|485|144|21|10|,0|0|0|0|0|0|0|0|,5111|457|59|87|29|15|0|1|,8593|4187|1617|973|456|129|21|9|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|7|,7938|2420|1816|1113|1434|750|386|128|,64.31930614544883|88.87204517650272|109.00885881176451|120.51162585058354|155.33423610097304|175.4875889000433|201.4657329890257|215.2212438828733|,5.851993038399788|8.720704702322951|11.098414947599133|10.613863044690323|13.429388781823993|19.81379834213238|17.498246749290413|17.87706788071106|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,8593|4187|1617|973|456|129|21|9|,65.33841651865546|102.42139191135233|143.2256460871102|172.6449023174024|200.4553594388479|223.695425390012|239.62716128170203|248.70468405584572|,6.526214784751403|11.36795147674681|10.65615234799811|8.646027707949736|6.741002130192111|5.257926882236517|2.437714288716835|2.7604387105478105|,5843|5922|2269|1249|520|146|25|11|,0|0|0|0|0|0|0|0|,62491|5922|2269|1249|520|146|25|11|,48690|1848|376|214|41|1|0|1|,13672|4049|1884|1032|479|145|25|10|,0|0|0|0|0|0|0|225|,0|0|4|25|127|53|13|3|,12935|4390|2184|1076|367|100|11|8|,0|0|0|0|0|0|0|0|,4494|641|372|85|3|2|0|1|,8441|3749|1812|991|364|98|11|7|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|7|,7926|1983|1560|1193|790|1142|624|255|,64.40032941310224|89.41144070259105|109.5819122061927|124.88806038820788|131.96131517039564|162.81310387280377|181.52642559204222|209.5149431936778|,5.582208666289178|8.69178433542854|9.566085357074776|12.081696969657578|11.659920344228407|14.005737864077243|20.398438595503517|17.94639901995397|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,8441|3749|1812|991|364|98|11|7|,65.34770003605156|103.904005294822|139.4575359296854|172.75666535668836|201.06679730463753|223.8515398350064|240.38025687379903|250.71862020833638|,6.617155132790041|11.994638583994861|10.454063832353155|8.388932214529095|6.979836155206105|5.667922311496061|2.6771898813792436|4.131244770678895|,5615|5496|2695|1124|403|117|16|7|,0|0|0|0|0|0|0|0|,57576|5496|2695|1124|403|117|16|7|,43757|1650|722|45|14|1|0|0|,13709|3820|1965|1075|388|116|16|7|,0|0|0|0|0|0|0|417|,0|0|32|142|165|65|10|3|,13096|4146|2179|957|233|58|6|4|,0|0|0|0|0|0|0|0|,4642|495|286|36|1|2|0|0|,8454|3651|1893|921|232|56|6|4|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|7|,7871|2137|1411|1084|793|499|1008|414|,64.3425269035375|88.95067887476347|110.27673379811226|125.49873954696498|137.13361649634697|138.948867418139|168.89983681338026|193.38098970269002|,5.1977994796275455|8.069738724640246|9.803840565141709|10.717394839372918|13.864427284428563|13.117192941150565|14.017191107840837|21.711649096887072|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,8454|3651|1893|921|232|56|6|4|,65.4197897821778|103.58815203441732|139.63439597731346|173.21028110804346|200.55762347074094|222.74109076396954|239.86942076291382|251.50760122307446|,6.466757355897268|12.265634866881188|9.526555540902136|7.972699338717616|6.9606710888426955|5.875431079494007|3.1756386341743794|4.220090775305837|,5667|5388|2803|1019|268|59|8|5|,0|0|0|0|0|0|0|0|,51448|5388|2803|1019|268|59|8|5|,37845|1565|716|35|4|2|0|0|,13318|3805|2077|980|263|57|8|5|,0|0|0|0|0|0|0|691|,0|0|101|426|129|29|4|2|,12625|4257|2180|587|137|29|4|3|,0|0|0|0|0|0|0|0|,4448|666|175|6|1|1|0|1|,8177|3591|2005|581|136|28|4|2|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|7|,7512|2047|1520|1023|762|591|413|656|,64.03294650358318|88.18117381594058|109.17346323601362|125.32287061805785|136.63501183685332|144.7640453786417|143.2208820293147|179.94247799798111|,5.23301111177178|8.7247726682605|10.111161103647598|11.265183096589196|12.359024978908367|15.51624181316476|14.069902728004578|19.551933296479092|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,8177|3591|2005|581|136|28|4|2|,65.17941960135845|104.2674839994653|139.39791939014776|173.17351692672455|201.28672822932077|221.22627673437856|238.96517551068703|253.37752827445914|,6.300937972676554|11.993300412089132|9.365237383310271|8.029441581554487|7.3205398222947355|4.874633226348579|3.484277280180451|5.503506306844514|,5407|5302|2933|696|149|31|4|2|,0|0|0|0|0|0|0|0|,40334|5302|2933|696|149|31|4|2|,28483|1419|495|29|1|0|0|0|,11778|3862|2430|663|148|31|4|2|,0|0|0|0|0|0|0|531|,0|8|178|244|84|12|4|1|,11093|4246|2494|470|64|18|1|1|,0|0|0|0|0|0|0|0|,3586|707|219|28|0|0|0|0|,7507|3539|2275|442|64|18|1|1|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|7|,6709|2294|1437|1072|785|595|493|462|,63.89551046832881|87.94704126956034|109.0222491959668|125.76761779270161|137.39948894298576|144.19967016677873|150.15573261157166|168.7599852627899|,5.056125432023797|8.10334687707438|9.275287187887903|10.730137999627622|11.866377607318938|12.753433067641467|16.2351431954304|25.395929269617884|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7507|3539|2275|442|64|18|1|1|,65.6397180095157|103.07049403946553|139.12992192956287|172.19015324170965|202.14460170060244|221.76223046560528|235.01092891601826|248.19549933118253|,7.027219874236592|12.28293360119677|9.311185203718399|8.664140243827875|7.176144738118902|4.791363542942041|0.0|0.0|,5022|5049|3136|541|79|18|1|1|,0|0|0|0|0|0|0|0|,35616|5049|3136|541|79|18|1|1|,24386|1141|589|20|2|0|0|0|,11119|3883|2540|520|77|18|1|1|,0|0|0|0|0|0|0|446|,0|12|200|181|41|12|0|0|,10440|4326|2519|378|42|6|1|1|,0|0|0|0|0|0|0|0|,2971|671|214|14|0|0|0|0|,7469|3655|2305|364|42|6|1|1|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|7|,6755|2033|1678|1061|780|625|490|421|,64.2667377498833|87.34819899711997|108.28007780249911|124.90139925778904|136.64353743845032|144.87870940865605|149.40754901470902|161.55737437706867|,5.561506703846167|8.344979220650906|9.661179702559162|10.581964920959823|11.852209767289093|13.112689967076243|13.868315106214862|22.572719282510157|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7469|3655|2305|364|42|6|1|1|,65.64737539267946|103.77768705068678|139.84846863227654|170.56169421807007|199.4413826950932|224.70192914971372|235.58349676741346|248.3604232512335|,6.911789787271208|11.817925666900905|9.12659736216335|7.993942894663186|7.578892028877593|5.055822160041734|0.0|0.0|,4701|5371|3230|478|54|7|1|1|,0|0|0|0|0|0|0|0|,32305|5371|3230|478|54|7|1|1|,21412|1701|676|18|1|0|0|0|,10852|3651|2548|459|53|7|1|1|,0|0|0|0|0|0|0|406|,0|12|219|149|21|4|1|0|,10317|3934|2519|358|33|4|0|1|,0|0|0|0|0|0|0|0|,2996|474|271|26|0|0|0|0|,7321|3460|2248|332|33|4|0|1|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|7|,6436|2204|1392|1125|746|611|495|390|,63.9104493449113|87.19068488738733|107.69425153246554|123.14393416104276|136.1293246487272|143.86539552597685|149.5221059574091|158.07008962262162|,5.428931494941939|9.753678926011432|10.91982855869831|12.273570122598489|11.975370219794403|13.315459764529963|14.36778609766642|19.430651075951378|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7321|3460|2248|332|33|4|0|1|,65.65214261698198|103.57310831885205|139.74277245728706|169.56387378681126|196.4978472725836|221.53078346533246|nan|248.45423886586735|,7.07786502882742|12.091545820125997|9.146262886342413|7.48922090908068|5.1194037081646115|6.629353673552725|nan|0.0|,4679|5162|3079|436|38|4|0|1|,0|0|0|0|0|0|0|0|,31253|5162|3079|436|38|4|0|1|,19913|1333|655|25|3|0|0|0|,11298|3807|2418|410|35|4|0|1|,0|0|0|0|0|0|0|397|,0|3|247|129|14|3|0|1|,10730|4168|2348|305|24|1|0|0|,0|0|0|0|0|0|0|0|,3241|628|183|9|1|0|0|0|,7489|3540|2165|296|23|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
10,0|1|2|3|4|5|6|7|,6567|2168|1541|1015|811|579|472|361|,63.19822499022254|86.34826592781788|107.35419986196986|123.03851865220656|135.05692388254357|143.52170707365005|149.15779994078986|155.92597396136688|,4.485650866571579|7.58827772809699|10.806969008498646|12.113127180557958|13.44644001985856|12.684849918370027|14.404464048866801|17.652257930138504|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7489|3540|2165|296|23|1|0|0|,65.17445115903391|103.33328715009834|139.97149185170065|169.54248393546243|197.1028297766659|217.17286803321923|nan|nan|,6.884040564912538|12.131551029404958|9.235942711664247|7.121474330939232|5.077794970382102|0.0|nan|nan|,5155|4928|3014|389|27|1|0|0|,0|0|0|0|0|0|0|0|,29903|4928|3014|389|27|1|0|0|,18696|1048|616|18|2|0|0|0|,11157|3863|2396|369|25|1|0|0|,0|0|0|0|0|0|0|373|,0|2|244|116|11|0|0|0|,10588|4200|2335|297|17|1|0|0|,0|0|0|0|0|0|0|0|,3273|499|246|33|0|0|0|0|,7315|3701|2089|264|17|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
11,0|1|2|3|4|5|6|7|,6168|2358|1617|1137|752|591|449|315|,63.97693656145578|85.93675928258047|107.14379618525736|123.07318141243938|134.41429201963726|142.11296338367737|148.90192490417834|155.25543402292354|,5.256528478490531|7.842117705773066|9.292256941142137|11.592397046578899|13.620334208117564|14.571860058996402|13.68484344215121|17.081546864873186|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7315|3701|2089|264|17|1|0|0|,66.45583575552783|104.02359241253617|139.79392463009847|168.70021482586637|197.90293501088675|218.61452263427412|nan|nan|,7.645229869227294|11.914899644675028|9.642397818443566|6.635338009099729|5.607330221258453|0.0|nan|nan|,4622|5445|2907|394|18|1|0|0|,0|0|0|0|0|0|0|0|,27813|5445|2907|394|18|1|0|0|,17285|1373|545|12|0|0|0|0|,10487|4053|2356|380|18|1|0|0|,0|0|0|0|0|0|0|336|,0|4|217|109|6|0|0|0|,9620|4644|2365|315|14|1|0|0|,0|0|0|0|0|0|0|0|,2780|980|150|14|0|0|0|0|,6840|3664|2215|301|14|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
12,0|1|2|3|4|5|6|7|,5900|2235|1544|1077|844|596|487|352|,64.0884000877713|87.10013327615987|106.78922268653476|123.94992863612111|134.90741668901796|142.26765389998872|147.4113504082634|154.62644971016934|,5.614907177878325|8.428168953518231|9.50017127642406|10.800213555785675|12.579371704394852|14.237378947435552|14.981038722435809|15.887075796253857|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,6840|3664|2215|301|14|1|0|0|,66.22640383241186|103.82269265681497|139.58368800620465|167.6193187730391|199.4594176579192|219.54687600224054|nan|nan|,7.568167162439785|11.894939477419165|9.313072683364972|6.376320676930388|5.71381412602994|0.0|nan|nan|,4501|5065|3035|418|15|1|0|0|,0|0|0|0|0|0|0|0|,29138|5065|3035|418|15|1|0|0|,18726|1114|752|21|0|0|0|0|,10333|3919|2272|396|15|1|0|0|,0|0|0|0|0|0|0|360|,0|5|223|123|8|1|0|0|,9634|4350|2281|303|8|0|0|0|,0|0|0|0|0|0|0|0|,2592|649|203|14|0|0|0|0|,7042|3701|2078|289|8|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
13,0|1|2|3|4|5|6|7|,6111|2187|1553|1091|773|608|477|318|,63.94249905140676|86.79530883987665|106.89836899221264|122.30221385385472|135.1163784953511|142.81373137076534|147.69580638998139|154.29227912291208|,4.936752036816458|8.38590765173739|9.505754382835752|10.483031833419641|11.886706988691834|13.868267835809897|15.075526850452256|16.51308115955024|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7042|3701|2078|289|8|0|0|0|,66.00064946441823|104.09524126504319|139.84009544225518|168.12041930658327|200.35089948632452|nan|nan|nan|,7.139983250241908|12.013005579571018|9.547204143833666|6.539794921951958|7.041525480146582|nan|nan|nan|,4640|5082|2992|395|9|0|0|0|,0|0|0|0|0|0|0|0|,27728|5082|2992|395|9|0|0|0|,17151|917|695|19|0|0|0|0|,10483|4147|2285|376|9|0|0|0|,0|0|0|0|0|0|0|339|,0|13|215|108|3|0|0|0|,9505|4820|2305|323|8|0|0|0|,0|0|0|0|0|0|0|0|,2354|1197|258|28|0|0|0|0|,7151|3623|2047|295|8|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
14,0|1|2|3|4|5|6|7|,6174|2259|1559|1085|718|543|434|352|,64.08471387709251|86.29937465599383|107.1339826753589|122.99020866920677|134.19465257382913|142.9160148341054|148.5330836487255|154.80615333677474|,5.098144615216678|7.571831582468172|9.796771979590723|10.100537816704435|10.942330544036194|11.773829787148054|14.602942408371575|16.780345074312503|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7151|3623|2047|295|8|0|0|0|,66.17217153023506|103.53705786840968|138.98382389946778|168.04226447358616|200.19153639693872|nan|nan|nan|,7.168841457998136|11.973816036931495|9.269311554201929|7.011231085515993|7.677069191056289|nan|nan|nan|,4495|5342|2900|376|11|0|0|0|,0|0|0|0|0|0|0|0|,26606|5342|2900|376|11|0|0|0|,16264|1579|662|9|0|0|0|0|,10302|3741|2230|367|11|0|0|0|,0|0|0|0|0|0|0|332|,0|5|195|126|6|0|0|0|,9683|4104|2265|260|7|0|0|0|,0|0|0|0|0|0|0|0|,2479|598|264|12|0|0|0|0|,7204|3506|2001|248|7|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
15,0|1|2|3|4|5|6|7|,6061|2385|1495|1021|727|533|412|332|,63.64300416722683|85.79447725658524|106.1942516920476|123.06812777234072|134.67388268091514|141.94782333780077|148.40251502499567|154.71142931660472|,5.117834402930212|8.331822838399429|9.25773439766809|11.22580580935903|11.429913843269198|11.92719270686605|12.523515551692489|15.973369521436924|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7204|3506|2001|248|7|0|0|0|,66.10194321445934|103.32822729622805|139.6287404676986|167.71654482750202|198.17113007810306|nan|nan|nan|,7.515068058005685|11.984332995804811|9.531940888378664|6.107544595533871|7.569305674437503|nan|nan|nan|,4518|5250|2815|371|11|1|0|0|,0|0|0|0|0|0|0|0|,26141|5250|2815|371|11|1|0|0|,15835|1102|533|19|0|0|0|0|,10253|4134|2276|351|11|1|0|0|,0|0|0|0|0|0|0|341|,0|6|218|113|4|0|0|0|,9068|4950|2385|274|7|1|0|0|,0|0|0|0|0|0|0|0|,2107|1189|240|13|0|0|0|0|,6961|3761|2145|261|7|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
16,0|1|2|3|4|5|6|7|,6144|2336|1627|1026|710|566|418|309|,64.7980722212403|87.6635052660108|108.5106517357548|123.57580977286496|135.6289962760762|143.27023497154244|147.54211610105511|155.17308402682863|,6.266209647707804|8.259104245908402|10.479511965046926|10.275847102991925|11.92035359221133|12.141043287542459|12.649523086858805|15.106108762534936|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,6961|3761|2145|261|7|1|0|0|,66.46857486502935|102.90270941373429|139.0587234888662|167.32752766588575|195.8953532443834|215.98925652338684|nan|nan|,7.44700089935212|12.032976480872481|9.218971903082128|5.554412387829325|6.115848600563811|0.0|nan|nan|,4231|5482|3057|358|7|1|0|0|,0|0|0|0|0|0|0|0|,26781|5482|3057|358|7|1|0|0|,16690|1764|756|11|0|0|0|0|,10004|3705|2290|346|7|1|0|0|,0|0|0|0|0|0|0|328|,0|3|213|111|1|0|0|0|,9316|4170|2262|270|5|2|0|0|,0|0|0|0|0|0|0|0|,2444|628|192|9|0|1|0|0|,6872|3542|2070|261|5|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
17,0|1|2|3|4|5|6|7|,5829|2433|1481|1049|716|529|423|291|,63.886898278623924|87.47332921606008|108.16361732336195|124.75616891156015|134.8257336634482|143.45923937819427|148.61377325828929|154.68691040928445|,5.416406467632808|9.834808261253654|9.759874779865576|11.906836881639654|11.156559047877227|12.71134088109628|12.816574975233797|15.284403576836954|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,6872|3542|2070|261|5|1|0|0|,66.24778328352565|103.69098976135592|139.64513388621745|167.7679869234037|196.77995329576842|216.53448728219013|nan|nan|,7.569087412809577|11.9482865324914|9.128229139591511|6.0630553063144115|3.2307971258764754|0.0|nan|nan|,4578|4839|2945|381|7|1|0|0|,0|0|0|0|0|0|0|0|,26702|4839|2945|381|7|1|0|0|,16048|883|694|19|0|0|0|0|,10614|3935|2246|361|7|1|0|0|,0|0|0|0|0|0|0|319|,0|2|209|106|1|1|0|0|,9994|4341|2220|284|6|0|0|0|,0|0|0|0|0|0|0|0|,2708|575|191|24|0|0|0|0|,7286|3766|2029|260|6|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
18,0|1|2|3|4|5|6|7|,6204|2323|1790|1088|746|519|396|281|,63.422015358876784|86.17886977334129|107.55913982043295|123.29577427235712|136.19695244165283|142.0682349644009|148.84067640052228|155.37719550939136|,4.707525826340699|8.125419593654154|10.570410734003271|10.690302543459406|13.038566760124583|11.725718561664104|13.297145390973627|14.253348574580798|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,7286|3766|2029|260|6|0|0|0|,65.84888084832565|103.73131313461323|139.4924620554432|167.86730972361354|195.9705921829731|nan|nan|nan|,7.393246184103014|11.878505328570316|9.264991840828873|5.725210819541675|4.088733545968483|nan|nan|nan|,4895|5133|2968|344|7|0|0|0|,0|0|0|0|0|0|0|0|,27011|5133|2968|344|7|0|0|0|,16799|1208|651|8|0|0|0|0|,10173|3912|2311|336|7|0|0|0|,0|0|0|0|0|0|0|289|,0|2|190|93|4|0|0|0|,9271|4420|2457|298|4|0|0|0|,0|0|0|0|0|0|0|0|,2392|749|372|20|0|0|0|0|,6879|3671|2085|278|4|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
19,0|1|2|3|4|5|6|7|,5849|2299|1603|1246|726|523|375|296|,64.84188133781446|86.20441015927258|107.43465412987665|124.37069334352428|134.64186226377814|144.99994797659835|147.1975074428482|154.81462265863544|,5.542902565953919|8.331022919965111|9.581975527900806|12.21518666722308|11.77519964396426|14.287499971210472|13.03950231258899|14.439200700370899|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,6879|3671|2085|278|4|0|0|0|,66.9451812119247|103.81514344668061|139.0529466224802|168.75098307688395|194.35890442913455|nan|nan|nan|,7.283880849245021|11.669719081272687|9.296937814686505|6.6174561757962325|1.4707860229729606|nan|nan|nan|,4087|5509|2933|383|5|0|0|0|,0|0|0|0|0|0|0|0|,26616|5509|2933|383|5|0|0|0|,16608|1619|594|35|0|0|0|0|,9886|3873|2326|346|5|0|0|0|,0|0|0|0|0|0|0|298|,0|7|191|97|3|0|0|0|,9145|4293|2409|288|3|0|0|0|,0|0|0|0|0|0|0|0|,2156|689|376|11|0|0|0|0|,6989|3604|2033|277|3|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
20,0|1|2|3|4|5|6|7|,5998|2356|1487|1004|875|535|388|263|,64.39823061037916|87.86693795940936|107.2524886448745|123.53427815466416|135.81865232784844|142.29850676774134|150.81770175991602|154.22008190267258|,5.08611277736135|8.375465627849005|9.669801084942108|10.961047694200888|13.245131517866437|12.542297003173474|15.271020415464458|13.914795598516521|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,6989|3604|2033|277|3|0|0|0|,66.72483932629696|103.69543490357282|139.34754968846582|169.29751467674424|196.30037347269356|nan|nan|nan|,7.495986324383877|11.980913175345068|9.387273452657606|7.387125021344248|4.930820744370408|nan|nan|nan|,4369|5234|2922|372|9|0|0|0|,0|0|0|0|0|0|0|0|,26334|5234|2922|372|9|0|0|0|,16193|1195|710|13|0|0|0|0|,10040|4024|2201|359|9|0|0|0|,0|0|0|0|0|0|0|264|,0|4|154|104|2|0|0|0|,9234|4503|2317|300|14|1|0|0|,0|0|0|0|0|0|0|0|,2071|936|227|23|2|0|0|0|,7163|3567|2090|277|12|1|0|0|,525|597|643|509|413|410|267|194|,612|1366|1340|228|11|1|0|0|
21,0|1|2|3|4|5|6|7|,5592|1765|990|489|285|216|136|79|,64.4553836407293|85.35836605199059|108.09561660802778|121.41775200217077|133.49710364482618|141.1623540088059|146.9689404859133|151.17334888011246|,5.5550083252747875|8.30734037673957|9.993416594320786|10.289218459744282|11.805264507859361|13.024253596521289|11.53056144766341|14.279806906889405|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,6551|2201|750|49|1|0|0|0|,66.63292474182798|103.6741093235595|139.76446660368407|168.05681799866187|191.03740445409122|nan|nan|nan|,7.457643363506248|11.702412973236418|9.564531211401057|6.341521341322692|0.0|nan|nan|nan|,3863|4291|1300|96|2|0|0|0|,0|0|0|0|0|0|0|0|,11348|4291|1300|96|2|0|0|0|,2719|355|16|0|0|0|0|0|,8608|3921|1282|95|2|0|0|0|,0|0|0|0|0|0|0|120|,0|1|97|21|1|0|0|0|,7376|4962|1355|94|1|0|0|0|,0|0|0|0|0|0|0|0|,557|632|16|1|0|0|0|0|,6819|4330|1339|93|1|0|0|0|,440|1065|591|464|258|171|134|67|,603|1669|840|77|1|0|0|0|
22,0|1|2|3|4|5|6|7|,4524|3079|908|451|217|108|78|27|,63.82976511790071|85.19664306632622|105.30036619625697|121.39909303245828|131.1066591584708|139.5235267942405|145.02519012082908|146.9010624747898|,4.911753410788906|8.07117651089801|10.763928240834476|10.09628063214944|10.962918414079164|12.330106404095547|14.211880894140885|10.07866717727984|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,6216|2661|499|16|0|0|0|0|,68.07629431799207|99.91738122920631|137.36102499014243|166.3422440133534|nan|nan|nan|nan|,8.407466335984264|11.593805110612626|9.405105679361107|5.6157411019845105|nan|nan|nan|nan|,3333|5047|971|41|0|0|0|0|,0|0|0|0|0|0|0|0|,7021|5047|971|41|0|0|0|0|,409|361|4|0|0|0|0|0|,6600|4667|963|41|0|0|0|0|,0|0|0|0|0|0|0|48|,0|3|38|7|0|0|0|0|,5559|5527|1095|42|0|0|0|0|,0|0|0|0|0|0|0|0|,90|745|32|0|0|0|0|0|,5469|4782|1063|42|0|0|0|0|,276|854|966|406|245|134|81|33|,451|1818|694|32|0|0|0|0|
